Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Data Migration Architect,Grafene Consulting,"Cairo, Egypt",26 days ago,Full Time,Manager · Strategy/Consulting · Engineering - Other · 12 - 14 Yrs of Exp Migration Data Migration Data · Information Technology (IT) Computer Science · Computer Engineering · Architect · ERP · ETL,https://wuzzuf.net/jobs/p/GwyuZSGAgS9h-Data-Migration-Architect-Grafene-Consulting-Cairo-Egypt?o=23&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Analyst,Arma Foods,"New Cairo, Cairo, Egypt",27 days ago,Full Time,Experienced · Analyst/Research · 3 - 5 Yrs of Exp Analysis Data Analysis · Analysis Computer Science · Information Technology (IT) · Reporting · Power BI · IT,https://wuzzuf.net/jobs/p/4EafJeDWO8xU-Data-Analyst-Arma-Foods-Cairo-Egypt?o=24&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Management Administrator,Xceed,"Maadi, Cairo, Egypt",26 days ago,Full Time,Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · 1 - 2 Yrs of Exp Computer Science · SQL · Oracle Financial · Network Configuration · LINUX · VMWARE · Application Development,https://wuzzuf.net/jobs/p/eIkxDKbO8zJ0-Data-Management-Administrator-Xceed-Cairo-Egypt?o=25&l=sp&t=sj&a=data%20science|search-v3|hpb
Senior Data Analyst PC Retail,Allianz,"New Cairo, Cairo, Egypt",1 month ago,Full Time,Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · 2 - 3 Yrs of Exp Analysis · Insurance · Retail · Analysis Computer Science Data Analysis · Information Technology (IT),https://wuzzuf.net/jobs/p/qtDuyxMtri3J-Senior-Data-Analyst-PC-Retail-Allianz-Cairo-Egypt?o=26&l=sp&t=sj&a=data%20science|search-v3|hpb
Big Data Engineer,Worex,"New Cairo, Cairo, Egypt",1 month ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2 - 3 Yrs of Exp Data · Engineering Big Data · Information Technology (IT) Computer Science · Hadoop · Kafka · Management,https://wuzzuf.net/jobs/p/VBFLrvm3FxGT-Big-Data-Engineer-Worex-Cairo-Egypt?o=27&l=sp&t=sj&a=data%20science|search-v3|hpb
Senior Big Data Engineer - Cairo,Confidential,"Nasr City, Cairo, Egypt",1 month ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 4 - 6 Yrs of Exp Big Data Computer Science · Engineering · Cloud · Information Technology (IT) · Agile · Programming · Software,https://wuzzuf.net/jobs/p/aOKLhyDBiNUH-Senior-Big-Data-Engineer---Cairo-Cairo-Egypt?o=28&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Management & Bigdata Team Lead,KnowledgeNet,"Nasr City, Cairo, Egypt",1 month ago,Full Time,Manager · IT/Software Development · Quality · Engineering - Telecom/Technology · 7 - 12 Yrs of Exp Developer Stage Computer Science · Information Technology (IT) · SQL · ETL · Microsoft SQL Server Data Developer Data Stage,https://wuzzuf.net/jobs/p/YgEn4xAUtHFK-Data-Management-Bigdata-Team-Lead-KnowledgeNet-Cairo-Egypt?o=29&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Analyst,Dough and More Food Industries,"6th of October, Giza, Egypt",1 month ago,Full Time,Experienced · Accounting/Finance · Analyst/Research · 3 - 5 Yrs of Exp Analysis Analyst · Analyst · Analysis Data Data Analysis Computer Science Data Analyst Relational Databases · Software,https://wuzzuf.net/jobs/p/jnXLXB066VhB-Data-Analyst-Dough-and-More-Food-Industries-Giza-Egypt?o=30&l=sp&t=sj&a=data%20science|search-v3|hpb
Senior Data Intelligence Engineer,ARROW Electronics,"Nasr City, Cairo, Egypt",2 days ago,Full Time,Experienced · Engineering - Telecom/Technology · 3 - 5 Yrs of Exp · Python · Information Technology (IT) · Software,https://wuzzuf.net/jobs/p/TsMhLnpM9Qti-Senior-Data-Intelligence-Engineer-ARROW-Electronics-Cairo-Egypt?o=31&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Center and Systems Administrator,AIU,"Alamein, Matruh, Egypt",5 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 3 - 5 Yrs of Exp · Administration · Information Technology (IT) · network · Computer Engineering · Networks · Engineering,https://wuzzuf.net/jobs/p/WDY09CNRnlB1-Data-Center-and-Systems-Administrator-AIU-Matruh-Egypt?o=32&l=sp&t=sj&a=data%20science|search-v3|hpb
Big Data Consultant,Fingerprint consultancy,"Cairo, Egypt",9 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · 3+ Yrs of Exp Big Data · ETL · Hadoop · Computer Engineering Computer Science · Programming · Python,https://wuzzuf.net/jobs/p/JveT6pAvDMik-Big-Data-Consultant-Fingerprint-consultancy-Cairo-Egypt?o=33&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Engineer,Paymob Solutions,"Maadi, Cairo, Egypt",9 days ago,Full Time,Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · 2+ Yrs of Exp · Cloud · AWS · Computer Engineering Data · Scala · Information Technology (IT) Computer Science,https://wuzzuf.net/jobs/p/keFORcJKZJDT-Data-Engineer-Paymob-Solutions-Cairo-Egypt?o=34&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Analyst,Confidential,"New Cairo, Cairo, Egypt",1 month ago,Full Time,Experienced · R&D/Science · Business Development · Analyst/Research · 5 - 7 Yrs of Exp Analysis · Research Analysis · Analysis Data Analysis Data · excel · Reporting · business,https://wuzzuf.net/jobs/p/yANkcSK0Sr74-Data-Analyst-Cairo-Egypt?o=35&l=sp&t=sj&a=data%20science|search-v3|hpb
BI Developer,Confidential,"Nasr City, Cairo, Egypt",1 month ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2 - 6 Yrs of Exp Warehouse · Power BI · BI · ETL Data Warehouse · SSRS · SSIS · SSAS · Tableau,https://wuzzuf.net/jobs/p/JdHEpC4EaQoR-BI-Developer-Cairo-Egypt?o=36&l=sp&t=sj&a=data%20science|search-v3|hpb
Technical Lead,Block Gemini,"Mohandessin, Giza, Egypt",17 days ago,Full Time,Manager · IT/Software Development · Engineering - Telecom/Technology · 5 - 8 Yrs of Exp · Angular Computer Science Data · Design · Development · Engineering · Information Technology (IT) · Management,https://wuzzuf.net/jobs/p/fhPXuLrO9Ket-Technical-Lead-Block-Gemini-Giza-Egypt?o=37&l=sp&t=sj&a=data%20science|search-v3|hpb
IT Infrastructure Manager (Section Head),Zewail City,"6th of October, Giza, Egypt",9 days ago,Full Time,Manager · IT/Software Development · Engineering - Telecom/Technology · 10 - 17 Yrs of Exp · Engineering · Information Technology (IT) · Computer Engineering · Project Management · Management Computer Science · ITIL · Back End,https://wuzzuf.net/jobs/p/N2nKqO8Gr92J-IT-Infrastructure-Manager-Section-Head-Zewail-City-Giza-Egypt?o=38&l=sp&t=sj&a=data%20science|search-v3|hpb
Software Tester,Confidential,"Nasr City, Cairo, Egypt",10 days ago,Full Time,Experienced · IT/Software Development · Quality · Engineering - Telecom/Technology · 4+ Yrs of Exp Warehouse Warehousing Data Warehouse Data Warehousing · Agile · Quality Control · Software Testing · Quality Assurance · quality,https://wuzzuf.net/jobs/p/cqJwHOfdw8Dl-Software-Tester-Cairo-Egypt?o=39&l=sp&t=sj&a=data%20science|search-v3|hpb
Senior Data Quality,BBIConsultancy,"Downtown, Cairo, Egypt",1 month ago,Full Time,Experienced · IT/Software Development · Quality · Engineering - Telecom/Technology · 4 - 6 Yrs of Exp Validation · Informatica Data Validation Data Computer Science · Banking · Quality Control · Information Technology (IT),https://wuzzuf.net/jobs/p/4KjZWJjxSYz8-Senior-Data-Quality-BBI-Consultancy-Cairo-Egypt?o=40&l=sp&t=sj&a=data%20science|search-v3|hpb
GMP - Google Marketing Platform - Marketing Researcher,LG Electronics,"Katameya, Cairo, Egypt",9 days ago,Full Time,Experienced · Marketing/PR/Advertising · Analyst/Research · Engineering - Telecom/Technology · 3 - 6 Yrs of Exp · Business Intelligence · SQL · BI Data · Information Technology (IT) · Analysis · Reporting,https://wuzzuf.net/jobs/p/If4xPNWbIP7G-GMP---Google-Marketing-Platform---Marketing-Researcher-LG-Electronics-Cairo-Egypt?o=41&l=sp&t=sj&a=data%20science|search-v3|hpb
IT Business Analyst,Seoudi Supermarket,"6th of October, Giza, Egypt",12 days ago,Full Time,Experienced · Business Development · IT/Software Development · Analyst/Research · 7 - 10 Yrs of Exp Analysis · Analysis · Business Analysis · analytical · Computer Engineering Data Analysis · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/l10UsI0sBCUG-IT-Business-Analyst-Seoudi-Supermarket-Giza-Egypt?o=42&l=sp&t=sj&a=data%20science|search-v3|hpb
