Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Java Software Development Engineer (Multinational),Pillars,"Cairo, Egypt",9 days ago,Full Time,Entry Level · IT/Software Development · Engineering - Telecom/Technology · 1+ Yrs of Exp Software Development Java Software Development · SQL · jQuery · CSS · DFX · Software Development,https://wuzzuf.net/jobs/p/3LiTQ4jJdkVg-Java-Software-Development-Engineer-Multinational-Pillars-Cairo-Egypt?o=23&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer,International Advanced,"Nasr City, Cairo, Egypt",16 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 5+ Yrs of Exp Script · Computer Science · CSS · Development · Engineering · Software Development JavaScript Java · Information Technology (IT),https://wuzzuf.net/jobs/p/8j8Y75szd7L5-Senior-Java-Developer-International-Advanced-Cairo-Egypt?o=24&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Engineer (m/f/d) - Remote Possible,Sellics,"Berlin, Germany",16 days ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 5 - 12 Yrs of Exp Java · AWS · Springboot · Git · Information Technology (IT) · Computer Science · Agile · Software Development,https://wuzzuf.net/jobs/p/ysF0r23jy8vp-Senior-Java-Engineer-mfd---Remote-Possible-Sellics-Berlin-Germany?o=25&l=sp&t=sj&a=java|search-v3|hpb
Java Technical Lead,Hitop,"Nasr City, Cairo, Egypt",14 days ago,Full Time,Manager · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · 6+ Yrs of Exp Java · Information Technology (IT) · Lead · Computer Science · technical · Technical Lead · Software Development,https://wuzzuf.net/jobs/p/h0b5n3NyYN2Y-Java-Technical-Lead-Hitop-Cairo-Egypt?o=26&l=sp&t=sj&a=java|search-v3|hpb
Engineering Manager - Java,WorkMotion,"Maadi, Cairo, Egypt",12 days ago,Full Time,Manager · IT/Software Development · Engineering - Telecom/Technology · 6+ Yrs of Exp Development Software Development · Engineering Java Java Development Java Software Development · API · Microservices · Spring Boot · AWS,https://wuzzuf.net/jobs/p/H6vGgaWQLAuu-Engineering-Manager---Java-WorkMotion-Cairo-Egypt?o=27&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Backend Developer,Channel VAS,"Cairo, Egypt",18 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 4+ Yrs of Exp · Back End · Computer Science · Information Technology (IT) · Programming Senior Java Backend Developer Java,https://wuzzuf.net/jobs/p/xzdGyj2VWOdF-Senior-Java-Backend-Developer-Channel-VAS-Cairo-Egypt?o=28&l=sp&t=sj&a=java|search-v3|hpb
Senior Software Java Developer - Cairo,FlairsTech,"Maadi, Cairo, Egypt",18 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 3+ Yrs of Exp Script Java JavaScript · jQuery · React · REST · JSTL · SQL · communication skills,https://wuzzuf.net/jobs/p/VSOrTqWlqSYY-Senior-Software-Java-Developer---Cairo-FlairsTech-Cairo-Egypt?o=29&l=sp&t=sj&a=java|search-v3|hpb
Java Engineering Manager - Jumia (Full-Time),Jumia,"New Cairo, Cairo, Egypt",16 days ago,Full Time,Manager · IT/Software Development · Engineering - Telecom/Technology · 5 - 10 Yrs of Exp · Agile · Computer Science · Engineering Java · Software · Spring Boot · Information Technology (IT) · English,https://wuzzuf.net/jobs/p/DZQSZcpLEy2Z-Java-Engineering-Manager---Jumia-Full-Time-Jumia-Cairo-Egypt?o=30&l=sp&t=sj&a=java|search-v3|hpb
Junior Java Backend Developer,kartngo,"Cairo, Egypt",19 days ago,Full Time - Work From Home,Entry Level · IT/Software Development · Engineering - Telecom/Technology · 0 - 4 Yrs of Exp Script Java JavaScript · API · GWT · Computer Science · XML · Information Technology (IT) · JSON,https://wuzzuf.net/jobs/p/u9hmYAI3E3Y7-Junior-Java-Backend-Developer-kartngo-Cairo-Egypt?o=31&l=sp&t=sj&a=java|search-v3|hpb
Java Developer,Qeema,"New Nozha, Cairo, Egypt",17 days ago,Full Time,Entry Level · IT/Software Development · Engineering - Telecom/Technology · 1 - 3 Yrs of Exp · Information Technology (IT) Java · Software Development · Communication,https://wuzzuf.net/jobs/p/3Bh5ZeheCjIG-Java-Developer-Qeema-Cairo-Egypt?o=32&l=sp&t=sj&a=java|search-v3|hpb
Java Software Developer,4GTSS,"Cairo, Egypt",18 days ago,Full Time,Entry Level · IT/Software Development · Engineering - Telecom/Technology · 1 - 2 Yrs of Exp Jee · Spring · Hibernate · JPA Java Jee · Engineering Java · Information Technology (IT) · Unit Testing,https://wuzzuf.net/jobs/p/W83LmNH8RvYB-Java-Software-Developer-4GTSS-Cairo-Egypt?o=33&l=sp&t=sj&a=java|search-v3|hpb
Java Developer,Advansys ESC,"Nasr City, Cairo, Egypt",19 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2 - 4 Yrs of Exp · Information Technology (IT) Java · Spring Boot · SQL · Algorithms · Computer Science · English · JPA,https://wuzzuf.net/jobs/p/ePsjl1YRHKMg-Java-Developer-Advansys-ESC-Cairo-Egypt?o=34&l=sp&t=sj&a=java|search-v3|hpb
"Senior Automation Testing Engineer [Selenium, NUnit/JUnit, C#,Java]",FlairsTech,"Maadi, Cairo, Egypt",21 days ago,Full Time,Experienced · IT/Software Development · Quality · Engineering - Telecom/Technology · 3 - 6 Yrs of Exp · Agile · Computer Science · Git · Information Technology (IT) Java · QA · Scrum,https://wuzzuf.net/jobs/p/ephorT7dbSqF-Senior-Automation-Testing-Engineer-Selenium-NUnitJUnit-CJava-FlairsTech-Cairo-Egypt?o=35&l=sp&t=sj&a=java|search-v3|hpb
Android Developer (Java & Kotlin)– Mid level,GameOn for Information Solutions,"Sheikh Zayed, Giza, Egypt",16 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2 - 5 Yrs of Exp · Android · Android SDK · Computer Science · Information Technology (IT) · Mobile Development · APIs · Software Development,https://wuzzuf.net/jobs/p/6rJAJZ2MwVel-Android-Developer-Java-Kotlin%E2%80%93-Mid-level-GameOn-for-Information-Solutions-Giza-Egypt?o=36&l=sp&t=sj&a=java|search-v3|hpb
Java Backend Developer,kartngo,"Cairo, Egypt",23 days ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2 - 4 Yrs of Exp Script Java JavaScript · API · GWT,https://wuzzuf.net/jobs/p/MUWmJjTrD7ZW-Java-Backend-Developer-kartngo-Cairo-Egypt?o=37&l=sp&t=sj&a=java|search-v3|hpb
Senior Backend Engineer - Java,WorkMotion,"Maadi, Cairo, Egypt",24 days ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 4+ Yrs of Exp · Information Technology (IT) · engineer Java · Spring · Spring Boot · Software engineer · Software Development · Back-End Development,https://wuzzuf.net/jobs/p/5M0jAxyhL4Iy-Senior-Backend-Engineer---Java-WorkMotion-Cairo-Egypt?o=38&l=sp&t=sj&a=java|search-v3|hpb
Full Stack Java Developer,Systems Limited,"Cairo, Egypt",24 days ago,Full Time,Entry Level · IT/Software Development · Engineering - Telecom/Technology · 1 - 5 Yrs of Exp Java · MongoDB · MySQL · JUnit · Mockito · Jenkins · spinnaker · Docker,https://wuzzuf.net/jobs/p/2Awj2jwiWiPC-Full-Stack-Java-Developer-Systems-Limited-Cairo-Egypt?o=39&l=sp&t=sj&a=java|search-v3|hpb
Java Technical Lead,KnowledgeNet,"Nasr City, Cairo, Egypt",23 days ago,Full Time,Manager · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · 6+ Yrs of Exp · Computer Science · Computer Engineering · Testing · Design · Spring Stack · Core · MVC,https://wuzzuf.net/jobs/p/sA7odtNxj6a7-Java-Technical-Lead-KnowledgeNet-Cairo-Egypt?o=40&l=sp&t=sj&a=java|search-v3|hpb
Senior/Lead Java Developer,GlobalLogic Croatia d.o.o.,"Zagreb, Croatia",25 days ago,Full Time,Manager · IT/Software Development · Engineering - Telecom/Technology · 5 - 20 Yrs of Exp EE Java Java EE · Spring · spring Framework · Hibernate · SQL · REST · Microservices,https://wuzzuf.net/jobs/p/cgLshXYvKuOT-SeniorLead-Java-Developer-GlobalLogic-Croatia-d-o-o-Zagreb-Croatia?o=41&l=sp&t=sj&a=java|search-v3|hpb
